Date,G_Open,G_High,G_Low,G_Close,G_Adj Close,G_Vol.,US_Price,US_Open,US_High,US_Low,US_Vol.,US_Change %
2022-02-28,249.149994,249.990005,246.899994,247.940002,247.940002,62357,96.858,97.112,97.395,96.605,0,0.25%
2022-02-25,249.5,249.809998,247.199997,247.210007,247.210007,69116,96.619,97.04,97.225,96.51,33080,-0.51%
2022-02-24,246.080002,253.139999,245.789993,252,252,55579,97.118,96.255,97.735,96.255,53310,0.97%
2022-02-23,245.550003,245.550003,244.050003,244.190002,244.190002,59865,96.188,96.005,96.24,95.835,19870,0.18%
2022-02-22,248,248.639999,246.559998,246.679993,246.679993,51022,96.011,96.12,96.25,95.83,20090,-0.01%
2022-02-21,247.960007,247.990005,244.149994,244.149994,244.149994,51199,96.02,96.12,96.145,95.65,22840,0.00%
2022-02-18,245.929993,246.660004,244.050003,244.179993,244.179993,38135,96.022,95.835,96.175,95.725,18090,0.23%
2022-02-17,242.279999,243.940002,241.100006,243.149994,243.149994,31765,95.803,95.805,96.115,95.68,34050,0.11%
2022-02-16,242.25,242.25,240.789993,241.009995,241.009995,34163,95.697,95.98,96.055,95.665,17170,-0.31%
2022-02-15,243.899994,245.789993,243.899994,245.789993,245.789993,55404,95.993,96.23,96.29,95.95,22730,-0.38%
2022-02-14,242.399994,242.990005,240.029999,242.25,242.25,136442,96.356,96.01,96.43,95.91,32840,0.29%
2022-02-11,237.789993,238.589996,237.369995,238.589996,238.589996,143548,96.073,95.85,96.135,95.63,33610,0.55%
2022-02-10,237.770004,238.5,237.630005,237.869995,237.869995,29785,95.548,95.595,96.01,95.16,43970,0.06%
2022-02-09,238.059998,238.089996,237.25,237.25,237.25,13725,95.494,95.63,95.665,95.375,17660,-0.15%
2022-02-08,238.240005,238.240005,237.630005,238.240005,238.240005,10033,95.641,95.42,95.745,95.39,16550,0.26%
2022-02-07,237.479996,238.75,237.479996,237.610001,237.610001,12646,95.392,95.415,95.62,95.34,16240,-0.09%
2022-02-04,235.5,235.970001,235.190002,235.449997,235.449997,8174,95.48,95.305,95.695,95.145,26520,0.11%
2022-02-03,235.389999,236.5,235.389999,236.100006,236.100006,58111,95.379,96.06,96.25,95.23,38800,-0.58%
2022-02-02,235.339996,235.339996,234.550003,234.75,234.75,37006,95.935,96.27,96.3,95.795,21520,-0.46%
2022-02-01,237,237.779999,236.580002,237.119995,237.119995,14462,96.375,96.695,96.715,96.215,20900,-0.17%
2022-01-31,238.25,238.5,237.169998,237.529999,237.529999,11111,96.537,97.22,97.3,96.51,21120,-0.75%
2022-01-28,237.699997,238.419998,237,238.419998,238.419998,35430,97.266,97.22,97.44,97.05,22330,0.02%
2022-01-27,238.850006,239.029999,237.889999,238.800003,238.800003,43528,97.242,96.53,97.3,96.53,24200,0.87%
2022-01-25,240,240.699997,239.350006,240.529999,240.529999,47420,96.4,95.95,96.535,95.9,23310,0.49%
2022-01-24,238.020004,238.490005,237.639999,238.490005,238.490005,48343,95.928,95.915,96.26,95.895,16020,0.03%
2022-01-21,237.139999,238.679993,236.949997,238.320007,238.320007,16957,95.901,95.675,96.13,95.625,20380,0.28%
2022-01-20,237.679993,237.869995,236.669998,236.800003,236.800003,29364,95.636,95.795,95.835,95.485,13740,-0.09%
2022-01-19,235.160004,235.25,234.5,234.699997,234.699997,15334,95.725,95.53,95.85,95.405,19140,0.24%
2022-01-18,235,235.589996,234.729996,235.179993,235.179993,11225,95.5,95.715,95.775,95.47,17300,-0.23%
2022-01-17,234.610001,235.190002,234.279999,235.179993,235.179993,12761,95.723,95.15,95.81,95.105,24080,0.59%
2022-01-14,233.029999,233.960007,232.800003,233.559998,233.559998,15891,95.161,95.155,95.335,95.03,9310,0.00%
2022-01-13,233.539993,233.720001,233.100006,233.339996,233.339996,10814,95.161,94.83,95.255,94.61,19210,0.41%
2022-01-12,234.910004,235.440002,234.580002,234.580002,234.580002,8585,94.775,94.975,95.01,94.635,20140,-0.13%
2022-01-11,233.720001,234.300003,233.580002,234.199997,234.199997,33483,94.901,95.585,95.69,94.89,28210,-0.76%
2022-01-10,232.990005,233.169998,231.869995,232.100006,232.100006,31472,95.625,95.905,96.075,95.575,14220,-0.38%
2022-01-07,233,233.300003,232.399994,233.289993,233.289993,8181,95.99,95.74,96.23,95.735,14980,0.28%
2022-01-06,233.669998,234.550003,233.350006,234.550003,234.550003,18046,95.722,96.25,96.275,95.705,22940,-0.63%
2022-01-05,233.25,234,233.190002,233.899994,233.899994,8613,96.326,96.21,96.4,96.035,14330,0.15%
2022-01-04,233.479996,233.770004,232.830002,232.929993,232.929993,15333,96.182,96.33,96.335,95.885,18720,-0.10%
2021-12-31,232,233.699997,232,233.699997,233.699997,6732,96.274,96.195,96.475,96.04,12980,0.07%
